"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano"
"3518206";"Guararapes (SP)";"31043"
"3518305";"Guararema (SP)";"31236"
"3518404";"Guaratinguetá (SP)";"118044"
"3518503";"Guareí (SP)";"15013"
"3518602";"Guariba (SP)";"37498"
"3518701";"Guarujá (SP)";"287634"
"3518800";"Guarulhos (SP)";"1291771"
"3518859";"Guatapará (SP)";"7320"
"3518909";"Guzolândia (SP)";"4246"
"3519006";"Herculândia (SP)";"9125"
"3519055";"Holambra (SP)";"15094"
"3519071";"Hortolândia (SP)";"236641"
"3519105";"Iacanga (SP)";"10437"
"3519204";"Iacri (SP)";"6131"
"3519253";"Iaras (SP)";"8010"
"3519303";"Ibaté (SP)";"32178"
"3519402";"Ibirá (SP)";"11690"
"3519501";"Ibirarema (SP)";"6385"
"3519600";"Ibitinga (SP)";"60033"
"3519709";"Ibiúna (SP)";"75605"
"3519808";"Icém (SP)";"7819"
"3519907";"Iepê (SP)";"7619"
"3520004";"Igaraçu do Tietê (SP)";"23106"
"3520103";"Igarapava (SP)";"26212"
"3520202";"Igaratá (SP)";"10605"
"3520301";"Iguape (SP)";"29115"
"3520400";"Ilhabela (SP)";"34934"
"3520426";"Ilha Comprida (SP)";"13419"
"3520442";"Ilha Solteira (SP)";"25549"
"3520509";"Indaiatuba (SP)";"255748"
"3520608";"Indiana (SP)";"5090"
"3520707";"Indiaporã (SP)";"4035"
"3520806";"Inúbia Paulista (SP)";"3615"
"3520905";"Ipaussu (SP)";"13712"
"3521002";"Iperó (SP)";"36459"
"3521101";"Ipeúna (SP)";"6831"
"3521150";"Ipiguá (SP)";"6761"
"3521200";"Iporanga (SP)";"4046"
"3521309";"Ipuã (SP)";"14454"
"3521408";"Iracemápolis (SP)";"21967"
"3521507";"Irapuã (SP)";"6867"
"3521606";"Irapuru (SP)";"7085"
"3521705";"Itaberá (SP)";"17983"
"3521804";"Itaí (SP)";"25180"
"3521903";"Itajobi (SP)";"16989"
"3522000";"Itaju (SP)";"3618"
"3522109";"Itanhaém (SP)";"112476"
"3522158";"Itaoca (SP)";"3422"
"3522208";"Itapecerica da Serra (SP)";"158522"
"3522307";"Itapetininga (SP)";"157790"
"3522406";"Itapeva (SP)";"89728"
"3522505";"Itapevi (SP)";"232297"
"3522604";"Itapira (SP)";"72022"
"3522653";"Itapirapuã Paulista (SP)";"4306"
"3522703";"Itápolis (SP)";"39493"
"3522802";"Itaporanga (SP)";"14085"
"3522901";"Itapuí (SP)";"13659"
"3523008";"Itapura (SP)";"3979"
"3523107";"Itaquaquecetuba (SP)";"369275"
"3523206";"Itararé (SP)";"44438"
"3523305";"Itariri (SP)";"15528"
"3523404";"Itatiba (SP)";"121590"
"3523503";"Itatinga (SP)";"19070"
"3523602";"Itirapina (SP)";"16148"
"3523701";"Itirapuã (SP)";"5779"
"3523800";"Itobi (SP)";"8046"
"3523909";"Itu (SP)";"168240"
"3524006";"Itupeva (SP)";"70616"
"3524105";"Ituverava (SP)";"37571"
"3524204";"Jaborandi (SP)";"6221"
"3524303";"Jaboticabal (SP)";"71821"
"3524402";"Jacareí (SP)";"240275"
"3524501";"Jaci (SP)";"7613"
"3524600";"Jacupiranga (SP)";"16097"
"3524709";"Jaguariúna (SP)";"59347"
"3524808";"Jales (SP)";"48776"
"3524907";"Jambeiro (SP)";"6397"
"3525003";"Jandira (SP)";"118045"
"3525102";"Jardinópolis (SP)";"45282"
"3525201";"Jarinu (SP)";"37535"
"3525300";"Jaú (SP)";"133497"
"3525409";"Jeriquara (SP)";"3863"
"3525508";"Joanópolis (SP)";"12815"
"3525607";"João Ramalho (SP)";"4371"
"3525706";"José Bonifácio (SP)";"36633"
"3525805";"Júlio Mesquita (SP)";"4254"
"3525854";"Jumirim (SP)";"3056"
"3525904";"Jundiaí (SP)";"443221"
"3526001";"Junqueirópolis (SP)";"20448"
"3526100";"Juquiá (SP)";"17154"
"3526209";"Juquitiba (SP)";"27404"
"3526308";"Lagoinha (SP)";"5083"
"3526407";"Laranjal Paulista (SP)";"26261"
"3526506";"Lavínia (SP)";"9689"
"3526605";"Lavrinhas (SP)";"7171"
"3526704";"Leme (SP)";"98161"
"3526803";"Lençóis Paulista (SP)";"66505"
"3526902";"Limeira (SP)";"291869"
"3527009";"Lindóia (SP)";"7014"
"3527108";"Lins (SP)";"74779"
"3527207";"Lorena (SP)";"84855"
"3527256";"Lourdes (SP)";"1950"
"3527306";"Louveira (SP)";"51847"
"3527405";"Lucélia (SP)";"20061"
"3527504";"Lucianópolis (SP)";"2372"
"3527603";"Luís Antônio (SP)";"12265"
"3527702";"Luiziânia (SP)";"4701"
"3527801";"Lupércio (SP)";"3981"
"3527900";"Lutécia (SP)";"2661"
"3528007";"Macatuba (SP)";"16829"
"3528106";"Macaubal (SP)";"7481"
"3528205";"Macedônia (SP)";"3963"
"3528304";"Magda (SP)";"3165"
"3528403";"Mairinque (SP)";"50027"
"3528502";"Mairiporã (SP)";"93853"
"3528601";"Manduri (SP)";"9871"
"3528700";"Marabá Paulista (SP)";"4573"
"3528809";"Maracaí (SP)";"12673"
"3528858";"Marapoama (SP)";"3292"
"3528908";"Mariápolis (SP)";"3513"
"3529005";"Marília (SP)";"237627"
"3529104";"Marinópolis (SP)";"1860"
"3529203";"Martinópolis (SP)";"24881"
"3529302";"Matão (SP)";"79033"
"3529401";"Mauá (SP)";"418261"
"3529500";"Mendonça (SP)";"6159"
"3529609";"Meridiano (SP)";"4572"
"3529658";"Mesópolis (SP)";"1952"
"3529708";"Miguelópolis (SP)";"19441"
"3529807";"Mineiros do Tietê (SP)";"11230"
"3529906";"Miracatu (SP)";"18553"
"3530003";"Mira Estrela (SP)";"3126"
"3530102";"Mirandópolis (SP)";"27983"
"3530201";"Mirante do Paranapanema (SP)";"15917"
"3530300";"Mirassol (SP)";"63337"
"3530409";"Mirassolândia (SP)";"4669"
"3530508";"Mococa (SP)";"67681"
"3530607";"Mogi das Cruzes (SP)";"451505"
"3530706";"Mogi Guaçu (SP)";"153658"
"3530805";"Mogi Mirim (SP)";"92558"
"3530904";"Mombuca (SP)";"3722"
"3531001";"Monções (SP)";"1937"
"3531100";"Mongaguá (SP)";"61951"
"3531209";"Monte Alegre do Sul (SP)";"8627"
"3531308";"Monte Alto (SP)";"47574"
"3531407";"Monte Aprazível (SP)";"22280"
"3531506";"Monte Azul Paulista (SP)";"18151"
"3531605";"Monte Castelo (SP)";"4222"
"3531704";"Monteiro Lobato (SP)";"4138"
"3531803";"Monte Mor (SP)";"64662"
"3531902";"Morro Agudo (SP)";"27933"
"3532009";"Morungaba (SP)";"13720"
"3532058";"Motuca (SP)";"4034"
"3532108";"Murutinga do Sul (SP)";"3737"
"3532157";"Nantes (SP)";"2660"
"3532207";"Narandiba (SP)";"5713"
"3532306";"Natividade da Serra (SP)";"6999"
"3532405";"Nazaré Paulista (SP)";"18217"
"3532504";"Neves Paulista (SP)";"9699"
"3532603";"Nhandeara (SP)";"9852"
"3532702";"Nipoã (SP)";"4750"
"3532801";"Nova Aliança (SP)";"6693"
"3532827";"Nova Campina (SP)";"8497"
"3532843";"Nova Canaã Paulista (SP)";"2032"
"3532868";"Nova Castilho (SP)";"1062"
"3532900";"Nova Europa (SP)";"9311"
"3533007";"Nova Granada (SP)";"19419"
"3533106";"Nova Guataporanga (SP)";"2156"
"3533205";"Nova Independência (SP)";"4609"
"3533254";"Novais (SP)";"4412"
"3533304";"Nova Luzitânia (SP)";"2837"
"3533403";"Nova Odessa (SP)";"62019"
"3533502";"Novo Horizonte (SP)";"38324"
"3533601";"Nuporanga (SP)";"7391"
"3533700";"Ocauçu (SP)";"4331"
"3533809";"Óleo (SP)";"2512"
"3533908";"Olímpia (SP)";"55074"
"3534005";"Onda Verde (SP)";"4771"
"3534104";"Oriente (SP)";"6085"
"3534203";"Orindiúva (SP)";"6024"
"3534302";"Orlândia (SP)";"38319"
"3534401";"Osasco (SP)";"728615"
"3534500";"Oscar Bressane (SP)";"2470"
"3534609";"Osvaldo Cruz (SP)";"31272"
"3534708";"Ourinhos (SP)";"103970"
"3534757";"Ouroeste (SP)";"10294"
"3534807";"Ouro Verde (SP)";"7779"
"3534906";"Pacaembu (SP)";"14877"
"3535002";"Palestina (SP)";"11476"
"3535101";"Palmares Paulista (SP)";"9650"
"3535200";"Palmeira d'Oeste (SP)";"8903"
"3535309";"Palmital (SP)";"19594"
"3535408";"Panorama (SP)";"14964"
"3535507";"Paraguaçu Paulista (SP)";"41120"
"3535606";"Paraibuna (SP)";"17667"
"3535705";"Paraíso (SP)";"6099"
"3535804";"Paranapanema (SP)";"19395"
"3535903";"Paranapuã (SP)";"4031"
"3536000";"Parapuã (SP)";"10580"
"3536109";"Pardinho (SP)";"7153"
"3536208";"Pariquera-Açu (SP)";"19233"
"3536257";"Parisi (SP)";"2892"
"3536307";"Patrocínio Paulista (SP)";"14512"
"3536406";"Paulicéia (SP)";"7955"
"3536505";"Paulínia (SP)";"110537"
"3536570";"Paulistânia (SP)";"2090"
"3536604";"Paulo de Faria (SP)";"7400"
"3536703";"Pederneiras (SP)";"44827"
"3536802";"Pedra Bela (SP)";"6557"
"3536901";"Pedranópolis (SP)";"2787"
"3537008";"Pedregulho (SP)";"15525"
"3537107";"Pedreira (SP)";"43112"
"3537156";"Pedrinhas Paulista (SP)";"2804"
"3537206";"Pedro de Toledo (SP)";"11281"
"3537305";"Penápolis (SP)";"61679"
"3537404";"Pereira Barreto (SP)";"24095"
"3537503";"Pereiras (SP)";"8737"
"3537602";"Peruíbe (SP)";"68352"
"3537701";"Piacatu (SP)";"5519"
"3537800";"Piedade (SP)";"52970"
"3537909";"Pilar do Sul (SP)";"27619"
"3538006";"Pindamonhangaba (SP)";"165428"
"3538105";"Pindorama (SP)";"14542"
"3538204";"Pinhalzinho (SP)";"15224"
"3538303";"Piquerobi (SP)";"3264"
"3538501";"Piquete (SP)";"12490"
"3538600";"Piracaia (SP)";"26029"
"3538709";"Piracicaba (SP)";"423323"
"3538808";"Piraju (SP)";"29436"
"3538907";"Pirajuí (SP)";"22431"
"3539004";"Pirangi (SP)";"10885"
"3539103";"Pirapora do Bom Jesus (SP)";"18370"
"3539202";"Pirapozinho (SP)";"25348"
"3539301";"Pirassununga (SP)";"73545"
"3539400";"Piratininga (SP)";"15108"
"3539509";"Pitangueiras (SP)";"33674"
"3539608";"Planalto (SP)";"4389"
"3539707";"Platina (SP)";"3025"
"3539806";"Poá (SP)";"103765"
"3539905";"Poloni (SP)";"5592"
"3540002";"Pompéia (SP)";"20196"
"3540101";"Pongaí (SP)";"3395"
"3540200";"Pontal (SP)";"37607"
"3540259";"Pontalinda (SP)";"4127"
"3540309";"Pontes Gestal (SP)";"2387"
"3540408";"Populina (SP)";"4127"
"3540507";"Porangaba (SP)";"10451"
"3540606";"Porto Feliz (SP)";"56497"
"3540705";"Porto Ferreira (SP)";"52649"
"3540754";"Potim (SP)";"20392"
"3540804";"Potirendaba (SP)";"18496"
"3540853";"Pracinha (SP)";"2578"
"3540903";"Pradópolis (SP)";"17078"
"3541000";"Praia Grande (SP)";"349935"
"3541059";"Pratânia (SP)";"5126"
"3541109";"Presidente Alves (SP)";"3804"
"3541208";"Presidente Bernardes (SP)";"14490"
"3541307";"Presidente Epitácio (SP)";"39505"
"3541406";"Presidente Prudente (SP)";"225668"
"3541505";"Presidente Venceslau (SP)";"35201"
"3541604";"Promissão (SP)";"35131"
"3541653";"Quadra (SP)";"3405"
"3541703";"Quatá (SP)";"13163"
"3541802";"Queiroz (SP)";"3265"
"3541901";"Queluz (SP)";"9159"
"3542008";"Quintana (SP)";"7038"
"3542107";"Rafard (SP)";"8965"
"3542206";"Rancharia (SP)";"28588"
"3542305";"Redenção da Serra (SP)";"4494"
"3542404";"Regente Feijó (SP)";"20145"
"3542503";"Reginópolis (SP)";"7662"
"3542602";"Registro (SP)";"59947"
"3542701";"Restinga (SP)";"6404"
"3542800";"Ribeira (SP)";"3132"
"3542909";"Ribeirão Bonito (SP)";"10989"
"3543006";"Ribeirão Branco (SP)";"18627"
"3543105";"Ribeirão Corrente (SP)";"4608"
"3543204";"Ribeirão do Sul (SP)";"4677"
"3543238";"Ribeirão dos Índios (SP)";"2025"
"3543253";"Ribeirão Grande (SP)";"7450"
"3543303";"Ribeirão Pires (SP)";"115559"
"3543402";"Ribeirão Preto (SP)";"698642"
"3543501";"Riversul (SP)";"5599"
"3543600";"Rifaina (SP)";"4049"
"3543709";"Rincão (SP)";"9098"
"3543808";"Rinópolis (SP)";"9259"
"3543907";"Rio Claro (SP)";"201418"
"3544004";"Rio das Pedras (SP)";"31328"
"3544103";"Rio Grande da Serra (SP)";"44170"
"3544202";"Riolândia (SP)";"10309"
"3544251";"Rosana (SP)";"17440"
"3544301";"Roseira (SP)";"10832"
"3544400";"Rubiácea (SP)";"2700"
"3544509";"Rubinéia (SP)";"3833"
"3544608";"Sabino (SP)";"5112"
"3544707";"Sagres (SP)";"2474"
"3544806";"Sales (SP)";"6437"
"3544905";"Sales Oliveira (SP)";"11411"
"3545001";"Salesópolis (SP)";"15202"
"3545100";"Salmourão (SP)";"4808"
"3545159";"Saltinho (SP)";"8161"
